Input_Size,Run_ID,Algorithm,Comparisons
1000,136,QuickSort,11517
1000,136,HeapSort,11672
1000,137,BubbleSort,999000
1000,137,InsertionSort,258652
1000,137,SelectionSort,499500
1000,137,MergeSort,8697
1000,137,QuickSort,11981
1000,137,HeapSort,11662
1000,138,BubbleSort,999000
1000,138,InsertionSort,249553
1000,138,SelectionSort,499500
1000,138,MergeSort,8670
1000,138,QuickSort,11173
1000,138,HeapSort,11739
1000,139,BubbleSort,999000
1000,139,InsertionSort,248800
1000,139,SelectionSort,499500
1000,139,MergeSort,8722
1000,139,QuickSort,12031
1000,139,HeapSort,11708
1000,140,BubbleSort,999000
1000,140,InsertionSort,249159
1000,140,SelectionSort,499500
1000,140,MergeSort,8680
1000,140,QuickSort,11242
1000,140,HeapSort,11739
1000,141,BubbleSort,999000
1000,141,InsertionSort,245515
1000,141,SelectionSort,499500
1000,141,MergeSort,8696
1000,141,QuickSort,10814
1000,141,HeapSort,11707
1000,142,BubbleSort,999000
1000,142,InsertionSort,252477
1000,142,SelectionSort,499500
1000,142,MergeSort,8687
1000,142,QuickSort,11198
1000,142,HeapSort,11666
1000,143,BubbleSort,999000
1000,143,InsertionSort,248429
1000,143,SelectionSort,499500
1000,143,MergeSort,8707
1000,143,QuickSort,12236
1000,143,HeapSort,11683
1000,144,BubbleSort,999000
1000,144,InsertionSort,250952
1000,144,SelectionSort,499500
1000,144,MergeSort,8689
1000,144,QuickSort,11083
1000,144,HeapSort,11662
1000,145,BubbleSort,999000
1000,145,InsertionSort,254382
1000,145,SelectionSort,499500
1000,145,MergeSort,8687
1000,145,QuickSort,11367
1000,145,HeapSort,11657
1000,146,BubbleSort,999000
1000,146,InsertionSort,247636
1000,146,SelectionSort,499500
1000,146,MergeSort,8659
1000,146,QuickSort,10514
1000,146,HeapSort,11647
1000,147,BubbleSort,999000
1000,147,InsertionSort,253445
1000,147,SelectionSort,499500
1000,147,MergeSort,8722
1000,147,QuickSort,11733
1000,147,HeapSort,11721
1000,148,BubbleSort,999000
1000,148,InsertionSort,258169
1000,148,SelectionSort,499500
1000,148,MergeSort,8728
1000,148,QuickSort,12100
1000,148,HeapSort,11704
1000,149,BubbleSort,999000
1000,149,InsertionSort,240627
1000,149,SelectionSort,499500
1000,149,MergeSort,8708
1000,149,QuickSort,12420
1000,149,HeapSort,11732
1000,150,BubbleSort,999000
1000,150,InsertionSort,253994
1000,150,SelectionSort,499500
1000,150,MergeSort,8703
1000,150,QuickSort,10642
1000,150,HeapSort,11683
1000,151,BubbleSort,999000
1000,151,InsertionSort,251867
1000,151,SelectionSort,499500
1000,151,MergeSort,8703
1000,151,QuickSort,10982
1000,151,HeapSort,11728
1000,152,BubbleSort,999000
1000,152,InsertionSort,235541
1000,152,SelectionSort,499500
1000,152,MergeSort,8702
